id_emp,Name,Last_name,Gender,Birth_Date,area,Start_Date,salary,finish_date,promotion_date,type
00-0037846,Kimmy,Walczynski,male,1991-06-04,Engineering,2002-01-20,77719,,,Hybrid
00-0041533,Ignatius,Springett,male,1984-06-29,"Business Development",2019-04-08,135189,,,Hybrid
00-0045747,Corbie,Bittlestone,male,1989-07-29,Sales,2010-10-12,122484,,,Remote
00-0055274,Baxy,Matton,female,1982-09-14,Services,2005-04-10,82100,,,Hybrid
00-0076100,Terrell,Suff,female,1994-04-11,"Product Management",2010-09-29,114648,"2029-10-29 06:09:38 UTC",,Remote
00-0116166,Kacie,Offiler,male,1971-01-18,Engineering,2018-09-01,121044,,,Hybrid
00-0363185,Sandro,Admans,male,1979-11-19,"Product Management",2012-11-08,174195,,,Remote
00-0380704,Eugene,Lehrahan,female,1988-10-14,Engineering,2007-06-27,66031,,,Remote
00-0381660,Wainwright,Corfield,male,1996-12-13,Engineering,2001-02-20,164055,"2008-12-05 01:21:48 UTC",,Hybrid
00-0419202,Dyann,Isoldi,male,1980-03-27,Engineering,2005-01-27,135543,,,Remote
00-0472287,Grantley,Oret,male,1975-09-06,Services,2004-11-01,166001,,,Remote
00-0472832,Elmore,Worner,female,1966-01-07,Engineering,2000-12-05,117567,,,Remote
00-0566380,Dud,Brain,male,1984-03-17,"Business Development",2008-09-17,150237,,,Hybrid
00-0571075,Aguie,Conford,male,1971-11-02,"Business Development",2015-11-25,174698,,,Remote
00-0624189,Katerina,Rosborough,male,1967-08-20,Engineering,2019-05-17,124803,,,Remote
00-0715212,Alida,Longley,female,1973-01-28,Accounting,2002-02-04,156904,,,Hybrid
00-0755645,Laraine,Petre,male,1967-05-11,Engineering,2010-09-30,140626,,,Remote
00-0778934,Gareth,MacCook,female,1987-02-21,Legal,2010-02-18,107742,,,Remote
00-0794247,Scottie,Chestney,female,1972-02-23,Engineering,2002-07-03,90315,,,Remote
00-0948136,Christophorus,Boseley,female,1983-05-23,Marketing,2007-09-06,124809,,,Remote
00-0971612,Arleyne,Froome,male,1999-08-01,Engineering,2015-04-09,137597,,,Remote
00-1051096,Todd,Cashen,female,1999-06-19,Accounting,2014-06-20,115695,,,Remote
00-1052230,Elmo,McNee,female,1988-12-16,Services,2002-07-18,78418,"2006-05-22 20:14:26 UTC",,Remote
00-1100714,Regen,Nafzger,male,1990-04-06,"Human Resources",2016-07-23,164369,"2022-07-12 02:26:01 UTC",,Hybrid
00-1147503,Penelope,Wenman,male,1994-12-19,"Business Development",2019-09-10,154937,,,Remote
00-1189819,Rudolf,Reichardt,male,1979-06-05,"Business Development",2007-05-07,97134,"2022-02-25 03:21:03 UTC",,Hybrid
00-1222963,Tobiah,Fruchon,female,1991-10-17,Services,2011-02-13,138757,,,Hybrid
00-1268049,Fay,Monnelly,male,1966-07-09,Engineering,2010-02-24,111994,"2030-03-21 03:56:25 UTC",,Hybrid
00-1277358,Lola,Burrells,male,1973-10-02,"Human Resources",2008-03-08,132408,"2024-10-09 10:07:08 UTC",,Remote
00-1284831,Hamel,Edgeler,male,1973-12-22,"Human Resources",2001-08-08,152256,"2007-10-31 20:13:44 UTC",,Hybrid
00-1331085,Shalne,Berntssen,female,1979-05-20,"Business Development",2008-12-19,132654,,,Remote
00-1418617,Nefen,Russan,female,1997-02-18,Training,2007-01-21,120834,,,Remote
00-1451930,Woodie,Hayhow,female,1995-01-18,Engineering,2001-08-04,170827,,,Remote
00-1485605,L;urette,Stango,male,1991-04-13,Training,2016-11-29,124715,,,Hybrid
00-1499371,Claude,Ales0,female,1984-04-29,Sales,2014-03-31,126534,,,Remote
00-1557949,Virginia,Teligin,female,1982-12-25,Engineering,2014-06-27,119752,,,Hybrid
00-1695354,Starr,Yitzhok,female,1998-04-11,Training,2011-07-14,99040,,,Remote
00-1722938,Perla,Durrand,male,1976-03-11,Sales,2014-01-01,178809,"2023-01-10 00:20:48 UTC",,Remote
00-1728402,Mahala,McTrustie,female,1974-06-07,"Business Development",2015-04-15,118730,,,Hybrid
00-1735797,Hobart,Bertrand,female,1997-03-22,"Business Development",2019-09-17,129612,,,Hybrid
00-1792130,Nobe,Leathe,male,1993-07-23,Engineering,2011-01-23,174045,"2024-12-07 02:16:22 UTC",,Remote
00-1830166,Peta,Gosson,female,1975-06-02,"Human Resources",2007-06-02,146252,,,Remote
00-1861400,Ninnette,Batter,male,1993-03-11,"Business Development",2008-02-04,152349,,,Remote
00-1877605,Bibbie,Matteoli,male,1997-06-18,Support,2008-05-05,74632,"2024-03-02 16:38:02 UTC",,Remote
00-1892609,Averell,Paintain,female,1971-10-25,"Research and Development",2013-01-02,118943,,,Remote
00-1954462,Marcel,Fowkes,male,1993-06-18,Accounting,2008-07-20,123127,,,Remote
